Iteration,Best_Length,Current_Length,Tabu_Size
147,11589.81619807461,11589.81619807461,19
148,11553.699326418793,11553.699326418793,19
149,11519.927207134057,11519.927207134057,19
150,11488.104890043527,11488.104890043527,19
151,11452.903147195546,11452.903147195546,19
152,11414.149601986112,11414.149601986112,19
153,11388.091614592144,11388.091614592144,19
154,11354.217983774859,11354.217983774859,19
155,11296.417415493612,11296.417415493612,19
156,11270.784815699259,11270.784815699259,19
157,11247.367449424262,11247.367449424262,19
158,11213.69363193294,11213.69363193294,19
159,11179.132385347166,11179.132385347166,19
160,11153.693324469397,11153.693324469397,19
161,11117.887864064112,11117.887864064112,19
162,11090.94474367348,11090.94474367348,19
163,11058.20232053661,11058.20232053661,19
164,11019.330987123849,11019.330987123849,19
165,10991.994041452053,10991.994041452053,19
166,10967.245858576425,10967.245858576425,19
167,10944.472589044573,10944.472589044573,19
168,10917.392951544733,10917.392951544733,19
169,10893.171143800837,10893.171143800837,19
170,10868.566163373087,10868.566163373087,19
171,10840.89826225699,10840.89826225699,19
172,10813.019450380198,10813.019450380198,19
173,10772.825800172066,10772.825800172066,19
174,10733.986610774997,10733.986610774997,19
175,10701.457618047245,10701.457618047245,19
176,10676.359514820697,10676.359514820697,19
177,10651.78494036952,10651.78494036952,19
178,10630.24977090103,10630.24977090103,19
179,10605.729827943347,10605.729827943347,19
180,10583.877701593065,10583.877701593065,19
181,10566.293615132568,10566.293615132568,19
182,10550.13710369144,10550.13710369144,19
183,10526.48528483699,10526.48528483699,19
184,10510.662880813215,10510.662880813215,19
185,10483.906319976919,10483.906319976919,19
186,10464.271979158264,10464.271979158264,19
187,10443.481132225741,10443.481132225741,19
188,10418.445126983865,10418.445126983865,19
189,10354.65034564777,10354.65034564777,19
190,10334.012450930575,10334.012450930575,19
191,10313.169895287352,10313.169895287352,19
192,10287.462204140542,10287.462204140542,19
193,10245.854345451815,10245.854345451815,19
194,10219.470474469741,10219.470474469741,19
195,10186.905274021592,10186.905274021592,19
196,10153.306478322129,10153.306478322129,19
197,10132.107221549224,10132.107221549224,19
198,10103.270238710995,10103.270238710995,19
199,10080.465897338663,10080.465897338663,19
200,10050.659344324658,10050.659344324658,19
201,10028.96667925173,10028.96667925173,19
202,10011.177918196563,10011.177918196563,19
203,9989.198775403225,9989.198775403225,19
204,9969.451872917094,9969.451872917094,19
205,9934.129651863643,9934.129651863643,19
206,9914.488793314458,9914.488793314458,19
207,9873.12865347965,9873.12865347965,19
208,9852.994968043156,9852.994968043156,19
209,9828.978441548781,9828.978441548781,19
210,9803.712913540141,9803.712913540141,19
211,9786.768239186968,9786.768239186968,19
212,9767.531428202512,9767.531428202512,19
213,9749.854188223357,9749.854188223357,19
214,9733.993172787688,9733.993172787688,19
215,9706.864876429949,9706.864876429949,19
216,9689.52145389599,9689.52145389599,19
217,9677.156307550003,9677.156307550003,19
218,9647.9137816186,9647.9137816186,19
219,9629.938818212626,9629.938818212626,19
220,9618.502525958089,9618.502525958089,19
221,9602.158761534969,9602.158761534969,19
222,9566.84525742039,9566.84525742039,19
223,9552.348956552793,9552.348956552793,19
224,9526.705543467622,9526.705543467622,19
